Date,Key,Decopler Box,HV Board,HV CH,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z
2019-07-22,100,1,0,19,F2Y4,6,109,4,FB0506,1520,C4R2,1,0.746705,0.746705,0.211
2019-07-22,101,3,4,6,F1Y15,6,109,5,FB0488,1480,C18R3,0,-0.273313,-1.02002,0
2019-07-22,102,3,4,18,F1B10,6,109,6,FB0598,1570,C21R1,0,0.528,-0.914523,0.422
2019-07-22,103,3,4,30,F1B15,6,109,7,FB0558,1650,C22R1,0,0.746705,-0.746705,0.422
2019-07-22,104,3,4,42,F1G6,6,109,8,FB0512,1480,C1R1,0,1.056,0,0.422
2019-07-22,105,2,2,6,F1G2,6,109,9,FB0501,1560,C24R2,1,1.02002,-0.273313,0.211
2019-07-22,106,2,2,18,F2G13,6,109,10,FB0525,1540,C14R3,0,-1.02002,-0.273313,0
2019-07-22,107,2,2,30,F2B11,6,109,11,FB0570,1490,C9R2,0,-0.528,0.914523,0.211
2019-07-22,108,2,2,42,F2G17,6,109,12,FB0532,1590,C15R2,0,-0.914523,-0.528,0.211
2019-07-22,109,1,0,6,F2G19,6,109,13,FB0555,1690,C15R4,1,-0.914523,-0.528,-0.211
2019-07-22,110,1,0,18,F2B3,6,109,14,FB0622,1600,C7R4,1,6.46614E-17,1.056,-0.211
2019-07-22,112,3,4,8,F1G20,7,61,0,FB0483,1510,C3R5,0,0.914523,0.528,-0.422
2019-07-22,113,3,4,20,F1B8,7,61,1,FB0599,1490,C20R4,0,0.273313,-1.02002,-0.211
2019-07-22,114,3,4,32,F1G18,7,61,2,FB0473,1620,C3R3,0,0.914523,0.528,0
2019-07-22,115,3,4,44,F1B5,7,61,3,FB0609,1520,C20R1,0,0.273313,-1.02002,0.422
2019-07-22,116,2,2,8,F1Y18,7,61,4,FB0611,1410,C19R1,0,-1.93984E-16,-1.056,0.422
2019-07-22,117,2,2,20,F2G11,7,61,5,FB0531,1470,C14R1,0,-1.02002,-0.273313,0.422
2019-07-22,118,2,2,32,F2G14,7,61,6,FB0530,1410,C14R4,0,-1.02002,-0.273313,-0.211
2019-07-22,119,2,2,44,F2Y13,7,61,7,FB0539,1810,C6R1,0,0.273313,1.02002,0.422
2019-07-22,120,1,0,8,F2B2,7,61,8,FB0543,1750,C7R3,0,6.46614E-17,1.056,0
2019-07-22,121,1,0,20,F2G7,7,61,9,FB0586,1510,C13R2,0,-1.056,1.29323E-16,0.211
2019-07-22,122,3,4,7,F1B17,7,61,10,FB0563,1600,C22R3,0,0.746705,-0.746705,0
2019-07-22,123,3,4,19,F1G13,7,61,11,FB0484,1580,C2R3,0,1.02002,0.273313,0
2019-07-22,124,3,4,31,F1G16,7,61,12,FB0480,1520,C3R1,0,0.914523,0.528,0.422
2019-07-22,125,3,4,43,F1B7,7,61,13,FB0608,1590,C20R3,0,0.273313,-1.02002,0
