Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
5,0,31,F3,R5,F3R5,14,15,9,FB0716,1732,C306R0,0,-31,53.6936,58,22.49,-1,22.49,1,1,3,25,3,1,5,233
5,0,30,F3,R8,F3R8,14,15,10,FB0711,1641,C403R0,0,67.1484,48.7862,-58,23.92,-1,23.92,1,1,3,28,3,1,8,234
5,0,7,F3,Y9,F3Y9,14,15,11,FB0671,1611,C206R0,0,-41,-8.5E-12,58,31.76,-1,31.76,1,1,3,38,3,2,9,235
5,0,18,F3,R2,F3R2,14,15,12,FB0718,1690,C305R0,0,-6.48076,61.6604,58,20.28,-1,20.28,1,1,3,22,3,1,2,236
5,0,19,F3,R1,F3R1,14,15,13,FB0703,1558,C302R0,0,56.6398,25.2177,58,36.21,-1,36.21,1,1,3,21,3,1,1,237
5,0,16,F1,I17,F1I17,14,15,14,FB0615,1560,C416R6,0,2.58E-11,-83,58,42.52,-1,42.52,1,1,3,196,1,5,17,238
5,0,43,F3,R4,F3R4,15,16,0,FB0723,1750,C204R0,U,-12.6697,38.9933,58,26.94,-1,26.94,1,1,2,24,3,1,4,240
5,0,29,F3,R6,F3R6,15,16,1,FB0780,1562,C405R0,0,25.6484,78.9377,-58,32.37,-1,32.37,1,1,3,26,3,1,6,241
5,0,35,F1,B24,F1B24,15,16,2,FB0688,1589,C416R6,0,2.58E-11,-83,58,25.53,-1,25.53,1,1,3,168,1,4,24,242
5,0,46,F3,Y3,F3Y3,15,16,5,FB0665,1605,C307R0,0,-50.1591,36.4427,58,28.13,-1,28.13,1,1,3,32,3,2,3,245
5,0,23,F1,B19,F1B19,15,16,6,FB0688,1710,C311R6,0,-31,-53.6936,-58,19.67,-1,19.67,1,1,3,173,1,4,19,246
5,0,22,F1,B20,F1B20,15,16,7,FB0824,1564,C313R6,0,19.1591,-58.9655,-58,28.52,-1,28.52,1,1,3,169,1,4,20,247
5,0,45,F3,Y4,F3Y4,15,16,8,FB0715,1568,C205R0,0,-33.1697,24.0992,58,21.51,-1,21.51,1,1,3,33,3,2,4,248
5,0,42,F3,R9,F3R9,15,16,9,FB0833,1630,C202R0,0,33.1697,24.0992,58,23.12,-1,23.12,1,1,3,29,3,1,9,249
5,0,41,F1,I13,F1I13,15,16,10,FB0626,1800,C102R6,0,6.18034,19.0211,-58,17.64,-1,17.64,1,1,3,192,1,5,13,250
5,0,20,F3,Y6,F3Y6,15,16,11,FB0782,1677,C308R0,0,-60.6452,12.8905,58,21.84,-1,21.84,1,1,3,35,3,2,6,251
