Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
3,3,37,F3,B4,F3B4,10,10,10,FB0761,1660,C16R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,119,3,16,4,1600,1660,153,-999,21.114
3,3,12,F3,B4,F3B4,8,8,13,FB0666,1532,C16R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,120,4,16,1,1600,1532,124,-999,51.19
3,3,46,F3,B4,F3B4,11,11,4,FB0620,1610,C19R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,121,5,19,1,1600,1610,163,-999,29.906
3,3,21,F3,B4,F3B4,9,9,9,FB0719,1697,C19R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,122,6,19,5,1600,1697,136,-999,16.296
3,3,9,F3,B4,F3B4,8,8,10,FB0717,1621,C19R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,123,7,19,4,1600,1621,121,-999,27.702
3,3,34,F3,B4,F3B4,10,10,7,FB0749,1691,C19R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,124,8,19,2,1600,1691,150,-999,17.048
3,3,22,F3,B4,F3B4,9,9,10,FB0720,1619,C19R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,125,9,19,3,1600,1619,137,-999,28.062
3,3,11,F1,G3,F1G3,8,8,12,FB0735,1631,C20R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,126,7,20,1,1600,1631,123,-999,25.832
3,3,23,F1,G3,F1G3,9,9,11,FB0669,1624,C20R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,127,8,20,2,1600,1624,138,-999,27.09
3,3,47,F1,G3,F1G3,11,11,5,FB0734,1663,C20R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,128,9,20,5,1600,1663,164,-999,20.61
3,3,10,F1,G3,F1G3,8,8,11,FB0762,1676,C20R4,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,129,10,20,4,1600,1676,122,-999,18.836
3,3,35,F1,G3,F1G3,10,10,8,FB0737,1637,C20R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,130,11,20,3,1600,1637,151,-999,24.812
3,3,31,F1,G3,F1G3,10,10,4,FB0741,1700,C21R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,131,12,21,3,1600,1700,147,-999,-17.426
3,3,32,F1,G3,F1G3,10,10,5,FB0811,1670,C21R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,132,13,21,4,1600,1670,148,-999,19.728
3,3,19,F1,G3,F1G3,9,9,5,FB0817,1633,C21R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,133,14,21,5,1600,1633,132,-999,25.39
3,3,20,F1,G3,F1G3,9,9,8,FB0701,1700,C21R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,134,15,21,2,1600,1700,135,-999,6.38
3,3,45,F1,G3,F1G3,11,11,0,FB0757,-999,C21R1,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,135,16,21,1,1600,-999,159,-999,-999.0
3,3,8,F1,G3,F1G3,8,8,9,FB0616,1607,C22R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,136,17,22,2,1600,1607,120,-999,30.482
3,3,44,F1,G3,F1G3,11,11,2,FB0617,1655,C22R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,137,18,22,4,1600,1655,161,-999,21.826
3,3,33,F1,G3,F1G3,10,10,6,FB0619,1441,C22R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,138,19,22,1,1600,1441,149,-999,96.634
3,3,43,F1,G3,F1G3,11,11,1,FB0740,1700,C22R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,139,20,22,3,1600,1700,160,-999,6.04
3,3,7,F1,G3,F1G3,8,8,8,FB0759,1700,C22R5,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,140,21,22,5,1600,1700,119,-999,-3.36
2,2,22,F1,G3,F1G3,6,6,14,FB0825,1682,C18R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,141,22,18,2,1600,1682,93,-999,18.082
2,2,35,F1,B4,F1B4,7,7,7,FB0672,1639,C18R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,142,1,18,1,1600,1639,102,-999,24.392
2,2,9,F1,B4,F1B4,6,6,6,FB0730,1578,C18R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,143,2,18,4,1600,1578,85,-999,37.254
2,2,47,F1,B4,F1B4,7,7,14,FB0732,1679,C17R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,144,3,17,3,1600,1679,109,-999,18.508
2,2,10,F1,B4,F1B4,6,6,7,FB0820,1591,C18R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,145,4,18,3,1600,1591,86,-999,34.034
2,2,23,F1,B4,F1B4,6,6,15,FB0821,1623,C17R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,146,5,17,2,1600,1623,94,-999,27.36
2,2,21,F1,B4,F1B4,6,6,13,FB0818,1617,C17R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,147,6,17,5,1600,1617,92,-999,28.448
2,2,34,F1,B4,F1B4,7,7,6,FB0748,1744,C18R5,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,148,7,18,5,1600,1744,101,-999,11.76
2,2,46,F1,B4,F1B4,7,7,13,FB0726,1586,C17R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,149,8,17,4,1600,1586,108,-999,35.302
2,2,11,F1,B4,F1B4,6,6,8,FB0763,1760,C17R1,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,150,9,17,1,1600,1760,87,-999,10.572
2,2,19,F3,K5,F3K5,6,6,11,FB0618,1655,C6R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,151,2,6,4,1600,1655,90,-999,21.782
2,2,43,F3,K5,F3K5,7,7,10,FB0744,1584,C6R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,152,3,6,5,1600,1584,105,-999,35.818
2,2,8,F3,K5,F3K5,6,6,5,FB0612,1700,C6R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,153,4,6,2,1600,1700,84,-999,9.028
2,2,20,F3,K5,F3K5,6,6,12,FB0755,1663,C7R2,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,154,5,7,2,1600,1663,91,-999,20.666
2,2,7,F3,K5,F3K5,6,6,4,FB0472,1673,C7R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,155,6,7,3,1600,1673,83,-999,19.264
2,2,32,F3,K5,F3K5,7,7,4,FB0469,1499,C6R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,156,7,6,3,1600,1499,99,-999,64.272
2,2,44,F3,K5,F3K5,7,7,11,FB0613,1648,C7R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,157,8,7,4,1600,1648,106,-999,23.012
2,2,45,F3,K5,F3K5,7,7,12,FB0620,1593,C6R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,158,9,6,1,1600,1593,107,-999,33.488
2,2,31,F3,K5,F3K5,7,7,3,FB0614,1700,C7R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,159,10,7,5,1600,1700,98,-999,-5.128
2,2,33,F3,K5,F3K5,7,7,5,FB0482,1720,C7R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,160,11,7,1,1600,1720,100,-999,13.974
1,1,37,F1,B4,F1B4,4,4,6,FB0694,1758,C410R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,161,12,410,6,1600,1758,53,-999,10.698
1,1,25,F1,B4,F1B4,4,4,4,FB0628,1635,C308R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,162,13,308,6,1600,1635,51,-999,25.172
1,1,36,F1,B4,F1B4,4,4,5,FB0690,1765,C206R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,163,14,206,6,1600,1765,52,-999,10.198
1,1,24,F1,B4,F1B4,4,4,3,FB0691,1562,C309R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,164,15,309,6,1600,1562,50,-999,41.778
1,1,0,F1,B4,F1B4,4,4,2,FB0850,1700,C412R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,165,16,412,6,1600,1700,49,-999,5.526
2,2,1,F1,B4,F1B4,4,4,8,FB0685,1591,C314R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,177,28,314,6,1600,1591,55,-999,34.044
2,2,13,F1,K5,F1K5,4,4,10,FB0756,1585,C418R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,178,33,418,6,1600,1585,57,-999,35.548
2,2,25,F1,K5,F1K5,4,4,12,FB0700,1700,C315R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,180,1,315,6,1600,1700,59,-999,-15.664
2,2,38,F1,K5,F1K5,4,4,15,FB0781,1749,C210R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,181,2,210,6,1600,1749,62,-999,11.42
2,2,37,F1,K5,F1K5,4,4,14,FB0683,1579,C301R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,184,5,301,6,1600,1579,61,-999,37.038
2,2,0,F1,K5,F1K5,4,4,7,FB0588,1739,C404R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,186,7,404,6,1600,1739,54,-999,12.234
2,2,12,F1,K5,F1K5,4,4,9,FB0645,1711,C303R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,187,8,303,6,1600,1711,56,-999,14.79
2,2,36,F1,K5,F1K5,4,4,13,FB0597,1722,C302R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,188,9,302,6,1600,1722,60,-999,13.71
2,2,24,F1,K5,F1K5,4,4,11,FB0526,1660,C402R6,0,-999,-999,-999,-999,-999,-999,1,-999,3,189,10,402,6,1600,1660,58,-999,21.17
1,1,12,F1,K5,F1K5,4,4,1,FB0636,1700,C203R6,0,-999,-999,-999,-999,-999,-999,0,-999,3,190,11,203,6,1600,1700,48,-999,6.052
