Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
5,0,17,F3,R7,F3R7,14,15,7,FB0708,1620,C304R0,0,19.1591,58.9655,58,25.21,8.75,25.21,1,1,3,27,3,1,7,231
4,4,28,F2,R7,F2R7,12,13,1,FB0709,1614,C5R5,0,51,88.3346,-46.22,35.25,4.75,35.25,1,1,3,57,2,1,7,193
5,0,30,F3,R8,F3R8,14,15,10,FB0711,1641,C403R0,0,67.1484,48.7862,-58,18.32,8.75,18.32,1,1,3,28,3,1,8,234
4,4,29,F2,Y1,F2Y1,12,13,2,FB0712,1735,C5R3,0,51,88.3346,0,23.53,9.75,23.53,1,1,3,60,2,2,1,194
3,3,24,F3,B2,F3B2,8,9,12,FB07122,1800,C16R5,0,-72.1249,-72.1249,-46.22,17.12,7.25,17.12,1,1,3,118,3,4,2,140
3,3,42,F2,Y12,F2Y12,9,10,0,FB0713,1683,C4R5,0,72.1249,72.1249,-46.22,31.72,8.75,31.72,1,1,3,71,2,2,12,144
3,3,1,F3,B1,F3B1,7,8,2,FB0714,1597,C16R2,U,-72.1249,-72.1249,23.11,31.72,10.25,31.72,1,1,2,117,3,4,1,114
5,0,45,F3,Y4,F3Y4,15,16,8,FB0715,1568,C205R0,0,-33.1697,24.0992,58,20.77,11.25,20.77,1,1,3,33,3,2,4,248
5,0,31,F3,R5,F3R5,14,15,9,FB0716,1732,C306R0,0,-31,53.6936,58,18.23,8.25,18.23,1,1,3,25,3,1,5,233
3,3,9,F3,B7,F3B7,7,8,10,FB0717,1715,C19R4,0,3.17E-11,-102,-23.11,24.48,9.25,24.48,1,1,3,123,3,4,7,122
5,0,18,F3,R2,F3R2,14,15,12,FB0718,1690,C305R0,0,-6.48076,61.6604,58,20.97,8.75,20.97,1,1,3,22,3,1,2,236
3,3,21,F3,B6,F3B6,8,9,9,FB0719,1662,C19R5,U,3.17E-11,-102,-46.22,30.74,9.25,30.74,1,1,2,122,3,4,6,137
3,3,22,F3,B9,F3B9,8,9,10,FB0720,1636,C19R3,0,3.17E-11,-102,0,21.49,8.25,21.49,1,1,3,125,3,4,9,138
5,0,44,F3,Y5,F3Y5,13,15,12,FB0721,1700,C409R0,0,-67.1484,48.7862,-58,17.8,8.75,17.8,1,1,3,34,3,2,5,220
5,0,43,F3,R4,F3R4,15,16,0,FB0723,1750,C204R0,U,-12.6697,38.9933,58,25.67,9.25,25.67,1,1,2,24,3,1,4,240
4,4,34,F2,G7,F2G7,12,13,7,FB0724,1702,C10R1,U,-72.1249,72.1249,46.22,40,25.25,40,1,1,2,81,2,3,7,199
2,2,46,F1,B8,F1B8,6,7,13,FB0726,1690,C17R4,U,-51,-88.3346,-23.11,25.07,10.25,25.07,1,1,2,149,1,4,8,109
4,4,16,F2,R9,F2R9,11,12,6,FB0727,1686,C5R4,U,51,88.3346,-23.11,33.78,42.75,33.78,1,1,2,59,2,1,9,182
2,2,16,F1,Y5,F1Y5,4,5,5,FB0728,1604,C417R0,U,25.6484,-78.9377,-58,28.65,18.75,28.65,1,1,2,14,1,2,5,69
4,4,18,F2,G3,F2G3,11,12,8,FB0729,1679,C8R5,0,-26.3995,98.5244,-46.22,33.68,10.75,33.68,1,1,3,77,2,3,3,184
2,2,9,F1,B2,F1B2,5,6,6,FB0730,1601,C18R4,0,-26.3995,-98.5244,-23.11,30.42,5.75,30.42,1,1,3,143,1,4,2,86
5,0,26,F2,Y5,F2Y5,14,15,4,FB0731,1680,C24R1,0,98.5244,-26.3995,46.22,29.62,10.25,29.62,1,1,3,64,2,2,5,228
2,2,47,F1,B3,F1B3,6,7,14,FB0732,1670,C17R3,0,-51,-88.3346,0,34.13,10.75,34.13,1,1,3,144,1,4,3,110
5,0,24,F1,I3,F1I3,14,15,0,FB0733,1850,C420R6,0,78.9377,-25.6484,58,12.83,8.25,12.83,1,1,3,182,1,5,3,224
3,3,47,F1,G9,F1G9,10,11,5,FB0734,1681,C20R5,0,26.3995,-98.5244,-46.22,29.37,8.75,29.37,1,1,3,128,1,3,9,165
3,3,11,F1,G7,F1G7,7,8,12,FB0735,1570,C20R1,0,26.3995,-98.5244,46.22,33.67,9.75,33.67,1,1,3,126,1,3,7,124
3,3,38,F3,G17,F3G17,9,10,11,FB0736,1602,C15R3,0,-88.3346,-51,0,32.43,9.25,32.43,1,1,3,111,3,3,17,155
3,3,35,F1,G11,F1G11,9,10,8,FB0737,1671,C20R3,0,26.3995,-98.5244,0,29.76,9.25,29.76,1,1,3,130,1,3,11,152
3,3,0,F3,G19,F3G19,7,8,1,FB0738,1691,C15R1,0,-88.3346,-51,46.22,30.27,10.75,30.27,1,1,3,113,3,3,19,113
3,3,3,F3,G16,F3G16,7,8,4,FB0739,1634,C14R3,0,-98.5244,-26.3995,0,23.37,5.25,23.37,1,1,3,110,3,3,16,116
3,3,43,F1,G20,F1G20,10,11,1,FB0740,1710,C22R3,0,72.1249,-72.1249,0,29.2,9.25,29.2,1,1,3,139,1,3,20,161
3,3,31,F1,G12,F1G12,9,10,4,FB0741,1741,C21R3,0,51,-88.3346,0,26.46,9.25,26.46,1,1,3,131,1,3,12,148
3,3,36,F3,G20,F3G20,9,10,9,FB0743,1681,C15R4,0,-88.3346,-51,-23.11,25.06,8.25,25.06,1,1,3,114,3,3,20,153
2,2,43,F3,I3,F3I3,6,7,10,FB0744,1651,C6R5,0,26.3995,98.5244,-46.22,25.18,11.25,25.18,1,1,3,152,3,5,3,106
1,1,0,F1,I19,F1I19,3,4,2,FB0747,1550,C412R6,0,-78.9377,-25.6484,58,34.64,10.25,34.64,1,1,3,165,1,5,19,50
2,2,34,F1,B7,F1B7,6,7,6,FB0748,1750,C18R5,0,-26.3995,-98.5244,-46.22,29.46,10.75,29.46,1,1,3,148,1,4,7,102
3,3,34,F3,B8,F3B8,9,10,7,FB0749,1684,C19R2,0,3.17E-11,-102,23.11,28.64,9.75,28.64,1,1,3,124,3,4,8,151
2,2,20,F1,I18,F1I18,5,6,12,FB0755,1658,C7R2,0,-1.06E-11,102,23.11,31,4.25,31,1,1,3,154,1,5,18,92
5,0,15,F3,I5,F3I5,14,15,3,FB0755,1592,C205R6,0,-33.1697,24.0992,-58,24.97,9.75,24.97,1,1,3,197,3,5,5,227
2,2,13,F1,I33,F1I33,3,4,10,FB0756,1665,C418R6,0,48.7862,-67.1484,58,24.7,9.25,24.7,1,1,3,178,1,5,33,58
3,3,45,F1,G16,F1G16,10,11,3,FB0757,1634,C21R1,0,51,-88.3346,46.22,29.43,9.25,29.43,1,1,3,135,1,3,16,163
3,3,7,F1,G21,F1G21,7,8,8,FB0759,1677,C22R5,0,72.1249,-72.1249,-46.22,35.02,5.75,35.02,1,1,3,140,1,3,21,120
