Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
3,3,19,F1,G3,F1G3,9,9,5,FB0817,1633,C21R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,133,14,21,5,1600.0,1633,132.0,-999.0,25.39
3,3,20,F1,G3,F1G3,9,9,8,FB0701,1700,C21R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,134,15,21,2,1600.0,1700,135.0,-999.0,6.38
3,3,45,F1,G3,F1G3,11,11,0,FB0757,-999,C21R1,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,135,16,21,1,1600.0,-999,159.0,-999.0,-999.0
3,3,8,F1,G3,F1G3,8,8,9,FB0616,1607,C22R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,136,17,22,2,1600.0,1607,120.0,-999.0,30.482
3,3,44,F1,G3,F1G3,11,11,2,FB0617,1655,C22R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,137,18,22,4,1600.0,1655,161.0,-999.0,21.826
3,3,33,F1,G3,F1G3,10,10,6,FB0619,1441,C22R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,138,19,22,1,1600.0,1441,149.0,-999.0,96.634
3,3,43,F1,G3,F1G3,11,11,1,FB0740,1700,C22R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,139,20,22,3,1600.0,1700,160.0,-999.0,6.04
3,3,7,F1,G3,F1G3,8,8,8,FB0759,1700,C22R5,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,140,21,22,5,1600.0,1700,119.0,-999.0,-3.36
2,2,22,F1,G3,F1G3,6,6,14,FB0825,1682,C18R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,141,22,18,2,1600.0,1682,93.0,-999.0,18.082
2,2,35,F1,B4,F1B4,7,7,7,FB0672,1639,C18R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,142,1,18,1,1600.0,1639,102.0,-999.0,24.392
