Decoupler Box,HV Board,HV CH,Flange ID,Swage,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,Type
1,1,25,4,13,F1K5,4,4,4,FB0628,1650,C308R6,0,-1,-1,-1,1,-1,1,1,1,1
-999,-999,-999,-999,-999,-999,-999,-999,-999,FB0668,1650,C309R0,0,-1,-1,-1,1,-1,1,1,1,1
1,1,24,4,15,F1K5,4,4,3,FB0691,1650,C309R6,0,-1,-1,-1,1,-1,1,1,1,1
-999,-999,-999,-999,-999,-999,-999,-999,-999,FB0794,1650,C310R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,8,4,17,,14,14,4,FB0765,1650,C310R6,U ,-1,-1,-1,1,-1,1,1,1,1
2,2,40,2,11,F2R1,5,5,10,FB0698,1650,C311R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,23,4,24,,16,16,6,FB0688,1650,C311R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,28,2,7,F3Y2,5,5,8,FB0692,1650,C312R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,11,4,23,F3B4,3,3,6,FB0684,1650,C312R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,3,2,3,F2Y2,5,5,2,FB0797,1650,C313R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,22,4,20,,16,16,7,FB0824,1650,C313R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,39,2,1,F2Y2,5,5,9,FB0789,1650,C314R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,1,4,28,F1K5,4,4,8,FB0685,1650,C314R6,0,-1,-1,-1,1,-1,1,1,1,1
4,4,37,1,7,F1Y2,5,5,0,FB0793,1650,C315R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,25,5,1,F1Y2,4,4,12,FB0700,1650,C315R6,0,-1,-1,-1,1,-1,1,1,1,1
4,4,42,1,3,,13,13,14,FB0775,1650,C3R1,0,-1,-1,-1,1,-1,1,1,1,1
4,4,41,1,5,,13,13,13,FB0803,1650,C3R2,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,40,1,1,,13,13,12,FB0777,1650,C3R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,4,1,4,F2G3,11,11,10,FB0846,1650,C3R4,0,-1,-1,-1,1,-1,1,1,1,1
4,4,39,1,2,F2G3,13,13,11,FB0695,1650,C3R5,0,-1,-1,-1,1,-1,1,1,1,1
4,4,13,1,2,F3B4,12,12,3,FB0792,1650,C401R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,24,5,10,F2G3,4,4,11,FB0526,1650,C402R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,30,1,8,,15,15,10,FB0711,1650,C403R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,0,5,7,F2B4,4,4,7,FB0588,1650,C404R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,29,1,6,,16,16,1,FB0780,1650,C405R0,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,33,2,2,F2G3,7,7,0,FB0667,1650,C407R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,44,2,5,,15,15,12,FB0721,1650,C409R0,0,-1,-1,-1,1,-1,1,1,1,1
1,1,37,4,12,F1R1,4,4,6,FB0694,1650,C410R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,34,2,8,F1B4,3,3,7,FB0663,1650,C411R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,27,4,16,F2G3,15,15,6,FB0850,1650,C412R6,0,-1,-1,-1,1,-1,1,1,1,1
1,1,0,5,19,,4,4,2,FB0747,1650,C412R6,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,21,2,11,F1G3,9,9,6,FB0839,1650,C413R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,36,5,34,,14,14,5,FB0693,1650,C414R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,15,2,10,F1Y2,5,5,4,FB0785,1650,C415R0,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,16,5,17,,15,15,14,FB0615,1650,C416R6,0,-1,-1,-1,1,-1,1,1,1,1
0,0,35,4,19,,16,16,2,FB0688,1650,C416R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,16,2,5,F3G3,5,5,5,FB0728,1650,C417R0,0,-1,-1,-1,1,-1,1,1,1,1
2,2,13,5,33,F2Y2,4,4,10,FB0756,1650,C418R6,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,0,2,2,,15,15,8,FB0796,1650,C419R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,24,5,3,,15,15,0,FB0733,1650,C420R6,0,-1,-1,-1,1,-1,1,1,1,1
3,3,6,3,1,F1B4,8,8,7,FB0771,1650,C4R1,0,-1,-1,-1,1,-1,1,1,1,1
3,3,18,2,15,F3B4,9,9,4,FB0774,1650,C4R2,0,-1,-1,-1,1,-1,1,1,1,1
3,3,30,2,13,F3B4,10,10,3,FB0681,1650,C4R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,17,2,14,F2R1,9,9,3,FB0798,1650,C4R4,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,42,2,12,F3B4,10,10,15,FB0713,1650,C4R5,0,-1,-1,-1,1,-1,1,1,1,1
4,4,30,1,8,F3B4,13,13,4,FB0851,1650,C5R1,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,17,1,6,F3B4,12,12,7,FB0680,1650,C5R2,0,-1,-1,-1,1,-1,1,1,1,1
4,4,29,2,1,F1Y2,13,13,3,FB0712,1650,C5R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,16,1,9,F2R1,12,12,6,FB0727,1650,C5R4,0,-1,-1,-1,1,-1,1,1,1,1
4,4,28,1,7,F1G3,13,13,2,FB0709,1650,C5R5,0,-1,-1,-1,1,-1,1,1,1,1
2,2,45,5,9,F2Y2,7,7,12,FB0620,1650,C6R1,0,-1,-1,-1,1,-1,1,1,1,1
2,2,8,5,4,F3B4,6,6,5,FB0612,1650,C6R2,0,-1,-1,-1,1,-1,1,1,1,1
2,2,32,5,7,F2G3,7,7,4,FB0469,1650,C6R3,0,-1,-1,-1,1,-1,1,1,1,1
2,2,19,5,2,F3B4,6,6,11,FB0618,1650,C6R4,0,-1,-1,-1,1,-1,1,1,1,1
2,2,43,5,3,F1K5,7,7,10,FB0744,1650,C6R5,U ,-1,-1,-1,1,-1,1,1,1,1
2,2,33,5,11,F1B4,7,7,5,FB0482,1650,C7R1,0,-1,-1,-1,1,-1,1,1,1,1
2,2,20,5,5,F2G3,6,6,12,FB0755,1650,C7R2,U ,-1,-1,-1,1,-1,1,1,1,1
2,2,7,5,6,F1Y2,6,6,4,FB0472,1650,C7R3,0,-1,-1,-1,1,-1,1,1,1,1
2,2,44,5,8,F3G3,7,7,11,FB0613,1650,C7R4,0,-1,-1,-1,1,-1,1,1,1,1
2,2,31,5,10,F1G3,7,7,3,FB0614,1650,C7R5,0,-1,-1,-1,1,-1,1,1,1,1
3,3,29,3,2,F1B4,10,10,2,FB0766,1650,C8R1,0,-1,-1,-1,1,-1,1,1,1,1
3,3,41,3,6,F1K5,10,10,14,FB0679,1650,C8R2,0,-1,-1,-1,1,-1,1,1,1,1
4,4,6,3,5,F3G3,11,11,12,FB0676,1650,C8R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,5,3,4,F1Y2,11,11,11,FB0807,1650,C8R4,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,18,3,3,F3K5,12,12,8,FB0729,1650,C8R5,0,-1,-1,-1,1,-1,1,1,1,1
4,4,23,3,15,F1G3,12,12,13,FB0804,1650,C9R1,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,35,3,10,F1B4,13,13,9,FB0678,1650,C9R2,0,-1,-1,-1,1,-1,1,1,1,1
4,4,47,3,14,,14,14,4,FB0675,1650,C9R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,11,3,8,F2R1,12,12,2,FB0673,1650,C9R4,0,-1,-1,-1,1,-1,1,1,1,1
4,4,46,3,9,,14,14,3,FB0677,1650,C9R5,0,-1,-1,-1,1,-1,1,1,1,1
1,1,26,4,5,F2G3,2,2,11,V-Omega,850,VB1,0,-1,-1,-1,1,-1,1,1,1,1
1,1,41,5,13,F1B4,3,3,11,V55,850,VB13,0,-1,-1,-1,1,-1,1,1,1,1
1,1,10,5,28,F3G3,1,1,10,VS,850,VB15,0,-1,-1,-1,1,-1,1,1,1,1
1,1,23,5,27,F3B4,2,2,8,VU,850,VB17,0,-1,-1,-1,1,-1,1,1,1,1
1,1,35,5,23,F1G3,3,3,5,V44,850,VB23,0,-1,-1,-1,1,-1,1,1,1,1
1,1,1,4,4,F1K5,1,1,1,V126,850,VB5,0,-1,-1,-1,1,-1,1,1,1,1
1,1,11,5,22,F2Y2,1,1,11,V128,850,VB9,0,-1,-1,-1,1,-1,1,1,1,1
1,1,42,4,10,F1G3,3,3,12,V15,850,VCB10,0,-1,-1,-1,1,-1,1,1,1,1
1,1,31,4,14,F3G3,2,2,1,V33,850,VCB12,0,-1,-1,-1,1,-1,1,1,1,1
1,1,4,4,23,F2B4,1,1,4,V32,850,VCB14,0,-1,-1,-1,1,-1,1,1,1,1
-999,-999,-999,-999,-999,-999,-999,-999,-999,V40,850,VCB16,0,-1,-1,-1,1,-1,1,1,1,1
1,1,28,4,10,F3K5,2,2,13,V39,850,VCB18,0,-1,-1,-1,1,-1,1,1,1,1
1,1,19,4,18,F3B4,2,2,4,V28,850,VCB2,0,-1,-1,-1,1,-1,1,1,1,1
1,1,38,4,2,F3B4,3,3,8,V41,850,VCB20,0,-1,-1,-1,1,-1,1,1,1,1
1,1,47,5,26,F3Y2,2,2,9,V129,850,VCB22,0,-1,-1,-1,1,-1,1,1,1,1
1,1,34,5,24,F1G3,3,3,4,V127,850,VCB24,0,-1,-1,-1,1,-1,1,1,1,1
1,1,2,4,3,F3G3,1,1,2,V125,850,VCB4,0,-1,-1,-1,1,-1,1,1,1,1
1,1,29,4,12,F1G3,2,2,14,V34,850,VCB6,0,-1,-1,-1,1,-1,1,1,1,1
1,1,40,3,20,F1K5,3,3,10,V13,850,VCT1,0,-1,-1,-1,1,-1,1,1,1,1
1,1,30,4,15,F1Y2,2,2,0,V27,850,VCT11,0,-1,-1,-1,1,-1,1,1,1,1
1,1,17,4,16,F3G3,2,2,2,V28,850,VCT13,0,-1,-1,-1,1,-1,1,1,1,1
1,1,46,4,20,F2G3,1,1,12,V16,850,VCT15,0,-1,-1,-1,1,-1,1,1,1,1
1,1,9,4,27,F1Y2,1,1,9,V16,850,VCT17,0,-1,-1,-1,1,-1,1,1,1,1
1,1,45,5,1,F1B4,3,3,0,V5,850,VCT19,0,-1,-1,-1,1,-1,1,1,1,1
1,1,3,3,17,F1R1,1,1,3,V14,850,VCT21,0,-1,-1,-1,1,-1,1,1,1,1
1,1,39,3,21,F2G3,3,3,9,V25,850,VCT23,0,-1,-1,-1,1,-1,1,1,1,1
1,1,27,3,19,F3B4,2,2,12,V12,850,VCT3,0,-1,-1,-1,1,-1,1,1,1,1
1,1,15,3,18,F1B4,1,1,0,V10,850,VCT5,0,-1,-1,-1,1,-1,1,1,1,1
1,1,18,4,19,F2R1,2,2,3,V6,850,VCT7,0,-1,-1,-1,1,-1,1,1,1,1
1,1,5,4,13,F1B4,1,1,5,V11,850,VCT9,0,-1,-1,-1,1,-1,1,1,1,1
1,1,6,4,11,F3B4,1,1,6,V29,850,VT10,0,-1,-1,-1,1,-1,1,1,1,1
1,1,43,4,17,F2G3,3,3,13,V8,850,VT12,0,-1,-1,-1,1,-1,1,1,1,1
1,1,7,4,22,F2Y2,1,1,7,V25,850,VT14,0,-1,-1,-1,1,-1,1,1,1,1
1,1,21,4,24,F3Y2,2,2,6,V30,850,VT16,0,-1,-1,-1,1,-1,1,1,1,1
1,1,32,4,21,F3B4,3,3,2,V31,850,VT18,0,-1,-1,-1,1,-1,1,1,1,1
1,1,22,5,25,F2G3,2,2,7,V88,850,VT20,0,-1,-1,-1,1,-1,1,1,1,1
